"Year","ICMLocation","MedalistEntity","Medalist","AffiliationWhenAwarded","AffiliationWhenAwardedCountry","AffiliationCurrent","AffiliationCurrentCountry","Citation"
"DateObject[{2006}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Madrid"", ""Madrid"", ""Spain""}]","Entity[""Person"", ""TerenceTao::p7jdj""]","Terence Tao","University of California, Los Angeles, US","Entity[""Country"", ""UnitedStates""]","University of California, Los Angeles, US","Entity[""Country"", ""UnitedStates""]","For his contributions to partial differential equations, combinatorics, harmonic analysis and additive number theory"
"DateObject[{2006}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Madrid"", ""Madrid"", ""Spain""}]","Entity[""Person"", ""WendelinWerner::7bdt4""]","Wendelin Werner","Paris-Sud 11 University, France","Entity[""Country"", ""France""]","ETH Zurich, Switzerland","Entity[""Country"", ""Switzerland""]","For his contributions to the development of stochastic Loewner evolution, the geometry of two-dimensional Brownian motion, and conformal field theory"
"DateObject[{2010}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Hyderabad"", ""Telangana"", ""India""}]","Missing[""NotAvailable""]","Elon Lindenstrauss","Hebrew University of Jerusalem, Israel Princeton University, US","Entity[""Country"", ""UnitedStates""]","Hebrew University of Jerusalem, Israel","Entity[""Country"", ""Israel""]","For his results on measure rigidity in ergodic theory, and their applications to number theory."
"DateObject[{2010}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Hyderabad"", ""Telangana"", ""India""}]","Entity[""Person"", ""NgoBaoChau::346p4""]","Ngô Bảo Châu","Paris-Sud 11 University, France Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","University of Chicago, US Vietnam Institute for Advanced Study, Vietnam","Entity[""Country"", ""Vietnam""]","For his proof of the Fundamental Lemma in the theory of automorphic forms through the introduction of new algebro-geometric methods"
"DateObject[{2010}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Hyderabad"", ""Telangana"", ""India""}]","Missing[""NotAvailable""]","Stanislav Smirnov","University of Geneva, Switzerland","Entity[""Country"", ""Switzerland""]","University of Geneva, Switzerland St. Petersburg State University, Russia","Entity[""Country"", ""Russia""]","For the proof of conformal invariance of percolation and the planar Ising model in statistical physics"
"DateObject[{2010}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Hyderabad"", ""Telangana"", ""India""}]","Missing[""NotAvailable""]","Cédric Villani","École Normale Supérieure de Lyon, France Institut Henri Poincaré, France","Entity[""Country"", ""France""]","Lyon University, France Institut Henri Poincaré, France","Entity[""Country"", ""France""]","For his proofs of nonlinear Landau damping and convergence to equilibrium for the Boltzmann equation."
"DateObject[{2014}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Seoul"", ""Seoul"", ""SouthKorea""}]","Missing[""NotAvailable""]","Artur Avila","University of Paris VII, France CNRS, France Instituto Nacional de Matemática Pura e Aplicada, Brazil","Entity[""Country"", ""Brazil""]","University of Paris VII, France CNRS, France Instituto Nacional de Matemática Pura e Aplicada, Brazil","Entity[""Country"", ""Brazil""]","For his profound contributions to dynamical systems theory, which have changed the face of the field, using the powerful idea of renormalization as a unifying principle."
"DateObject[{2014}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Seoul"", ""Seoul"", ""SouthKorea""}]","Missing[""NotAvailable""]","Manjul Bhargava","Princeton University, US","Entity[""Country"", ""UnitedStates""]","Princeton University, US","Entity[""Country"", ""UnitedStates""]","For developing powerful new methods in the geometry of numbers, which he applied to count rings of small rank and to bound the average rank of elliptic curves."
"DateObject[{2014}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Seoul"", ""Seoul"", ""SouthKorea""}]","Missing[""NotAvailable""]","Martin Hairer","University of Warwick, UK","Entity[""Country"", ""UnitedKingdom""]","University of Warwick, UK","Entity[""Country"", ""UnitedKingdom""]","For his outstanding contributions to the theory of stochastic partial differential equations, and in particular for the creation of a theory of regularity structures for such equations."
"DateObject[{2014}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Seoul"", ""Seoul"", ""SouthKorea""}]","Entity[""Person"", ""MaryamMirzakhani::cvgz6""]","Maryam Mirzakhani","Stanford University, US","Entity[""Country"", ""UnitedStates""]","Stanford University, US","Entity[""Country"", ""UnitedStates""]","For her outstanding contributions to the dynamics and geometry of Riemann surfaces and their moduli spaces."
